name,url,generics,brands
"EMPECS Medical Device Co., Ltd.",https://medex.com.bd/companies/436/empecs-medical-device-co-ltd/brands,1,1
Empiric Laboratories Ltd.,https://medex.com.bd/companies/305/empiric-laboratories-ltd/brands,1,1
Ergon Pharmaceuticals (AY),https://medex.com.bd/companies/498/ergon-pharmaceuticals-ay/brands,1,1
Eskayef Pharmaceuticals Ltd.,https://medex.com.bd/companies/27/eskayef-pharmaceuticals-ltd,437,768
Ethical Drugs Limited,https://medex.com.bd/companies/157/ethical-drugs-limited/brands,67,115
Euro Pharma Ltd.,https://medex.com.bd/companies/121/euro-pharma-ltd/brands,136,211
Everest Pharmaceuticals Ltd.,https://medex.com.bd/companies/127/everest-pharmaceuticals-ltd,129,186
FnF Pharmaceuticals Ltd.,https://medex.com.bd/companies/266/fnf-pharmaceuticals-ltd/brands,7,7
Gaco Pharmaceuticals Ltd.,https://medex.com.bd/companies/137/gaco-pharmaceuticals-ltd/brands,68,92
General Pharmaceuticals Ltd.,https://medex.com.bd/companies/29/general-pharmaceuticals-ltd,285,480
Genvio Pharma Ltd.,https://medex.com.bd/companies/30/genvio-pharma-ltd/brands,25,40
Get Well Limited,https://medex.com.bd/companies/267/get-well-limited/brands,7,16
GlaxoSmithKline Pharmaceuticals,https://medex.com.bd/companies/351/glaxosmithkline-pharmaceuticals/brands,4,5
Globe Pharmaceuticals Ltd.,https://medex.com.bd/companies/31/globe-pharmaceuticals-ltd,176,291
Globex Pharmaceuticals Ltd.,https://medex.com.bd/companies/120/globex-pharmaceuticals-ltd/brands,30,44
Gonoshasthaya Pharma Ltd.,https://medex.com.bd/companies/32/gonoshasthaya-pharma-ltd/brands,102,158
Goodman Pharmaceuticals Ltd.,https://medex.com.bd/companies/268/goodman-pharmaceuticals-ltd/brands,50,87
Green Laboratories (Unani),https://medex.com.bd/companies/536/green-laboratories-unani/brands,36,37
Greenland Pharmaceuticals Ltd.,https://medex.com.bd/companies/212/greenland-pharmaceuticals-ltd/brands,13,13
Guardian Healthcare Ltd.,https://medex.com.bd/companies/261/guardian-healthcare-ltd/brands,35,41
Hallmark Pharmaceuticals Ltd.,https://medex.com.bd/companies/100/hallmark-pharmaceuticals-ltd/brands,42,62
Healthcare Pharmaceuticals Ltd.,https://medex.com.bd/companies/85/healthcare-pharmaceuticals-ltd,367,682
Herbex & co (Unani),https://medex.com.bd/companies/485/herbex-co-unani/brands,4,4
Hudson Pharmaceuticals Ltd.,https://medex.com.bd/companies/33/hudson-pharmaceuticals-ltd/brands,64,94
Ibn Sina Pharmaceuticals Ltd.,https://medex.com.bd/companies/35/ibn-sina-pharmaceuticals-ltd,395,596
Incepta Pharmaceuticals Ltd.,https://medex.com.bd/companies/106/incepta-pharmaceuticals-ltd,829,1511
Indo Bangla Pharmaceutical,https://medex.com.bd/companies/99/indo-bangla-pharmaceutical/brands,29,39
Institute of Public Health (IPH),https://medex.com.bd/companies/217/institute-of-public-health-iph/brands,6,8
International Agencies (Bd.) Limited,https://medex.com.bd/companies/290/international-agencies-bd-limited/brands,6,8
Janata Traders,https://medex.com.bd/companies/176/janata-traders/brands,30,43
Jayson Natural Products Ltd.,https://medex.com.bd/companies/429/jayson-natural-products-ltd/brands,27,30
Jayson Pharmaceutical Ltd.,https://medex.com.bd/companies/37/jayson-pharmaceutical-ltd/brands,122,198
Jenphar Bangladesh Ltd.,https://medex.com.bd/companies/39/jenphar-bangladesh-ltd/brands,97,151
JMI Syringes & Medical Devices Ltd.,https://medex.com.bd/companies/442/jmi-syringes-medical-devices-ltd/brands,1,1
Kawsar Chemicals,https://medex.com.bd/companies/205/kawsar-chemicals/brands,1,2
Kemiko Pharmaceuticals Ltd.,https://medex.com.bd/companies/116/kemiko-pharmaceuticals-ltd/brands,132,204
Kumudini Pharma Ltd.,https://medex.com.bd/companies/136/kumudini-pharma-ltd/brands,90,145
Labaid Pharma Ltd.,https://medex.com.bd/companies/40/labaid-pharma-ltd,61,117
Leon Pharmaceuticals Ltd.,https://medex.com.bd/companies/129/leon-pharmaceuticals-ltd/brands,61,98
Lexicon Pharma,https://medex.com.bd/companies/389/lexicon-pharma/brands,1,1
Libra Infusions Ltd.,https://medex.com.bd/companies/41/libra-infusions-ltd/brands,8,15
Libra Pharmaceuticls Ltd.,https://medex.com.bd/companies/269/libra-pharmaceuticls-ltd/brands,3,5
Maks Drug Limited,https://medex.com.bd/companies/412/maks-drug-limited/brands,23,47
Marie Stopes Bangladesh,https://medex.com.bd/companies/279/marie-stopes-bangladesh/brands,1,1
Marker Pharma Ltd.,https://medex.com.bd/companies/131/marker-pharma-ltd/brands,28,36
Marksman Pharmaceuticals Ltd.,https://medex.com.bd/companies/109/marksman-pharmaceuticals-ltd/brands,19,25
Medicon Pharmaceuticals Ltd.,https://medex.com.bd/companies/42/medicon-pharmaceuticals-ltd/brands,82,113
Medimet Pharmaceuticals Ltd.,https://medex.com.bd/companies/43/medimet-pharmaceuticals-ltd/brands,72,129
MedRx Life Science Ltd.,https://medex.com.bd/companies/263/medrx-life-science-ltd/brands,14,20
MGH Healthcare Limited,https://medex.com.bd/companies/419/mgh-healthcare-limited/brands,5,6
Microlife Corporation,https://medex.com.bd/companies/517/microlife-corporation/brands,1,3
MicroMed,https://medex.com.bd/companies/409/micromed/brands,1,1
Millat Pharmaceuticals Ltd.,https://medex.com.bd/companies/44/millat-pharmaceuticals-ltd/brands,45,71
Modern Pharmaceuticals Ltd.,https://medex.com.bd/companies/45/modern-pharmaceuticals-ltd/brands,42,62
Momotaz Pharmaceuticals Ltd.,https://medex.com.bd/companies/206/momotaz-pharmaceuticals-ltd/brands,4,4
Monicopharma Ltd.,https://medex.com.bd/companies/123/monicopharma-ltd/brands,70,102
MST Pharma,https://medex.com.bd/companies/170/mst-pharma/brands,29,35
Mundipharma (BD) Pvt. Ltd.,https://medex.com.bd/companies/143/mundipharma-bd-pvt-ltd/brands,19,35
Mystic Pharmaceuticals Ltd.,https://medex.com.bd/companies/46/mystic-pharmaceuticals-ltd/brands,28,38
Naafco Pharma PLC,https://medex.com.bd/companies/251/naafco-pharma-plc/brands,59,95
National Drug Co. Ltd.,https://medex.com.bd/companies/479/national-drug-co-ltd/brands,23,29
Navana Pharmaceuticals Ltd.,https://medex.com.bd/companies/47/navana-pharmaceuticals-ltd,197,331
